Код,Спеціальність,(спеціалізація),Конкурсні пропозиції,,,К1,К2,К3,Прохідний бал,ГК,,,,,,,,,,,,,,,
,,,2. Математика ,0,0,0,0,0,,,26,151,Автоматизація та комп'ютерно-інтегровані технології,0,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25",146523,"1,02 або 1.00",,,
,,,3. Іноземна мова або географія,0,0,0,0,0,,,27,151,Автоматизація та комп'ютерно-інтегровані технології,(Робототехніка та штучний інтелект),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25",146523,"1,02 або 1.00",,,
73,Менеджмент,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3","176,358","1,00",28,183,Технології захисту навколишнього середовища,0,1. Українська мова та література ,2. Математика,3. Фізика або біологія,"0,35","0,3","0,25",135616,"1,02 або 1.00",,,
,,,2. Математика ,0,0,0,0,0,,,29,184,Гірництво,0,1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3","129,79","1,02 або 1.00",,,
,,,3. Іноземна мова або географія,0,0,0,0,0,,,30,191,Архітектура та містобудування ,0,1. Українська мова та література ,2. Математика ,3. Творчий конкурс,"0,2","0,2","0,5",179418,"1,00",,,
75,Маркетинг ,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3","177,888","1,00",31,192,Будівництво та цивільна інженерія,0,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",105913,"1,02 або 1.00",,,
,,,2. Математика ,0,0,0,0,0,,,32,193,Геодезія та землеустрій,0,1. Українська мова та література ,2. Математика ,3. Географія або Історія України,"0,35","0,2","0,35",161626,"1,02 або 1.00",,,
,,,3. Іноземна мова або географія,0,0,0,0,0,,,33,194,"Гідротехнічне будівництво, водна інженерія та водні технології",0,1. Українська мова та література ,2. Математика ,3. Фізика або географія,"0,3","0,3","0,3",150962,"1,02 або 1.00",,,
76,"Підприємництво, торгівля та біржова діяльність ",,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",172,"1,00",34,201,Агрономія,0,1. Українська мова та література ,2. Біологія ,3. Хімія або математика,"0,35","0,3","0,25","135,93","1,02 або 1.00",,,
,,,2. Математика ,0,0,0,0,0,,,35,207,Водні біоресурси та аквакультура,0,1. Українська мова та література ,2. Біологія ,3. Хімія або математика,"0,25","0,4","0,25","138,5","1,02 або 1.00",,,
,,,3. Іноземна мова або географія,0,0,0,0,0,,,36,208,Агроінженерія,0,1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3",108599,"1,02 або 1.00",,,
81,Право ,,1. Українська мова та література ,2. Історія України ,3. Математика або іноземна мова,"0,4","0,3","0,2","182,784","1,00",37,227,"Фізична терапія, ерготерапія",0,1. Українська мова та література ,2. Біологія або хімія,3. Фізика або математика,"0,3","0,35","0,25","150,96","1,00",,,
,,,2. Історія України ,0,0,0,0,0,,,38,242,Туризм,0,1. Українська мова та література ,2. Іноземна мова ,3. Географія або математика,"0,25","0,3","0,35",175542,"1,00",,,
,,,3. Математика або іноземна мова,0,0,0,0,0,,,39,263,Цивільна безпека,0,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","152,72","1,02 або 1.00",,,
101,Екологія,,1. Українська мова та література ,2. Біологія,3. Хімія або географія,"0,35","0,3","0,25","159,438","1,00",40,274,Автомобільний транспорт,0,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",132498,"1,02 або 1.00",,,
,,,2. Біологія,0,0,0,0,0,,,41,275.03,Транспортні технології,(на автомобільному транспорті),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","134,5","1,02 або 1.00",,,
,,,3. Хімія або географія,0,0,0,0,0,,,42,281,Публічне управління та адміністрування,0,1. Українська мова та література ,2. Математика ,3. Іноземна мова або історія України,"0,4","0,25","0,25",182274,"1,00",,,
103,Науки про Землю,(Геологія),1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3","112,65","1,02 або 1.00",43,292,Міжнародні економічні відносини ,(Міжнародний бізнес),1. Українська мова та література ,2. Іноземна мова ,3. Географія або математика,"0,35","0,3","0,25",186711,"1,00",,,
,(Геологія),,2. Математика,0,0,0,0,0,,,44,,,,,,,,,,,,,,
,,,3. Фізика або географія,0,0,0,0,0,,,45,,,,,,,,,,,,,,
103,Науки про Землю,(Гідрологія),1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3","112,65","1,02 або 1.00",46,,,,,,,,,,,,,,
,(Гідрологія),,2. Математика,0,0,0,0,0,,,47,,,,,,,,,,,,,,
,,,3. Фізика або географія,0,0,0,0,0,,,48,,,,,,,,,,,,,,
106,Географія,,1. Українська мова та література ,2. Географія ,3. Математика або іноземна мова,"0,3","0,3","0,3","184,08","1,02 або 1.00",49,,,,,,,,,,,,,,
,,,2. Географія ,0,0,0,0,0,,,50,,,,,,,,,,,,,,
,,,3. Математика або іноземна мова,0,0,0,0,0,,,51,,,,,,,,,,,,,,
113,Прикладна математика,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,4","0,2","170,391","1,00",52,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,53,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,54,,,,,,,,,,,,,,
121,Інженерія програмного забезпечення,(Інтернет речей),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,35","0,35","0,2","178,806","1,00",55,,,,,,,,,,,,,,
,(Інтернет речей),,2. Математика,0,0,0,0,0,,,56,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,57,,,,,,,,,,,,,,
122,Комп`ютерні науки,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,35","0,35","0,2","170,901","1,00",58,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,59,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,60,,,,,,,,,,,,,,
123,Комп`ютерна інженерія,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,35","0,25","167,45","1,00",61,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,62,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,63,,,,,,,,,,,,,,
126,Інформаційні системи та технології,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,35","0,35","0,2","167,892","1,00",64,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,65,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,66,,,,,,,,,,,,,,
141,"Електроенергетика, електротехніка та електромеханіка ","(Електроенергетика, електротехніка та електромеханіка; Smart -енергетика та електромобільніссть)",1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25","104,612","1,02 або 1.00",67,,,,,,,,,,,,,,
,"(Електроенергетика, електротехніка та електромеханіка; Smart -енергетика та електромобільніссть)",,2. Математика,0,0,0,0,0,,,68,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,69,,,,,,,,,,,,,,
133,Галузеве машинобудування,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","107,406","1,02 або 1.00",70,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,71,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,72,,,,,,,,,,,,,,
144,Теплоенергетика,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","104,612","1,02 або 1.00",73,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,74,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,75,,,,,,,,,,,,,,
145,Гідроенергетика ,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","104,612","1,02 або 1.00",76,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,77,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,78,,,,,,,,,,,,,,
151,Автоматизація та комп'ютерно-інтегровані технології,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25","146,523","1,02 або 1.00",79,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,80,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,81,,,,,,,,,,,,,,
151,Автоматизація та комп'ютерно-інтегровані технології,(Робототехніка та штучний інтелект),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25","146,523","1,02 або 1.00",82,,,,,,,,,,,,,,
,(Робототехніка та штучний інтелект),,2. Математика,0,0,0,0,0,,,83,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,84,,,,,,,,,,,,,,
183,Технології захисту навколишнього середовища,,1. Українська мова та література ,2. Математика,3. Фізика або біологія,"0,35","0,3","0,25","135,616","1,02 або 1.00",85,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,86,,,,,,,,,,,,,,
,,,3. Фізика або біологія,0,0,0,0,0,,,87,,,,,,,,,,,,,,
184,Гірництво,,1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3","129,79","1,02 або 1.00",88,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,89,,,,,,,,,,,,,,
,,,3. Фізика або географія,0,0,0,0,0,,,90,,,,,,,,,,,,,,
191,Архітектура та містобудування ,,1. Українська мова та література ,2. Математика ,3. Творчий конкурс,"0,2","0,2","0,5","179,418","1,00",91,,,,,,,,,,,,,,
,,,2. Математика ,0,0,0,0,0,,,92,,,,,,,,,,,,,,
,,,3. Творчий конкурс,0,0,0,0,0,,,93,,,,,,,,,,,,,,
192,Будівництво та цивільна інженерія,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","105,913","1,02 або 1.00",94,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,95,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,96,,,,,,,,,,,,,,
193,Геодезія та землеустрій,,1. Українська мова та література ,2. Математика ,3. Географія або Історія України,"0,35","0,2","0,35","161,626","1,02 або 1.00",97,,,,,,,,,,,,,,
,,,2. Математика ,0,0,0,0,0,,,98,,,,,,,,,,,,,,
,,,3. Географія або Історія України,0,0,0,0,0,,,99,,,,,,,,,,,,,,
194,"Гідротехнічне будівництво, водна інженерія та водні технології",,1. Українська мова та література ,2. Математика ,3. Фізика або географія,"0,3","0,3","0,3","150,962","1,02 або 1.00",100,,,,,,,,,,,,,,
,,,2. Математика ,0,0,0,0,0,,,101,,,,,,,,,,,,,,
,,,3. Фізика або географія,0,0,0,0,0,,,102,,,,,,,,,,,,,,
201,Агрономія,,1. Українська мова та література ,2. Біологія ,3. Хімія або математика,"0,35","0,3","0,25","135,93","1,02 або 1.00",103,,,,,,,,,,,,,,
,,,2. Біологія ,0,0,0,0,0,,,104,,,,,,,,,,,,,,
,,,3. Хімія або математика,0,0,0,0,0,,,105,,,,,,,,,,,,,,
207,Водні біоресурси та аквакультура,,1. Українська мова та література ,2. Біологія ,3. Хімія або математика,"0,25","0,4","0,25","138,5","1,02 або 1.00",106,,,,,,,,,,,,,,
,,,2. Біологія ,0,0,0,0,0,,,107,,,,,,,,,,,,,,
,,,3. Хімія або математика,0,0,0,0,0,,,108,,,,,,,,,,,,,,
208,Агроінженерія,,1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3","108,599","1,02 або 1.00",109,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,110,,,,,,,,,,,,,,
,,,3. Фізика або географія,0,0,0,0,0,,,111,,,,,,,,,,,,,,
227,"Фізична терапія, ерготерапія",,1. Українська мова та література ,2. Біологія або хімія,3. Фізика або математика,"0,3","0,35","0,25","150,96","1,00",112,,,,,,,,,,,,,,
,,,2. Біологія або хімія,0,0,0,0,0,,,113,,,,,,,,,,,,,,
,,,3. Фізика або математика,0,0,0,0,0,,,114,,,,,,,,,,,,,,
242,Туризм,,1. Українська мова та література ,2. Іноземна мова ,3. Географія або математика,"0,25","0,3","0,35","175,542","1,00",115,,,,,,,,,,,,,,
,,,2. Іноземна мова ,0,0,0,0,0,,,116,,,,,,,,,,,,,,
,,,3. Географія або математика,0,0,0,0,0,,,117,,,,,,,,,,,,,,
263,Цивільна безпека,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","152,72","1,02 або 1.00",118,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,119,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,120,,,,,,,,,,,,,,
274,Автомобільний транспорт,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","132,498","1,02 або 1.00",121,,,,,,,,,,,,,,
,,,2. Математика,0,0,0,0,0,,,122,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,123,,,,,,,,,,,,,,
275.03,Транспортні технології,(на автомобільному транспорті),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3","134,5","1,02 або 1.00",124,,,,,,,,,,,,,,
,(на автомобільному транспорті),,2. Математика,0,0,0,0,0,,,125,,,,,,,,,,,,,,
,,,3. Фізика або іноземна мова,0,0,0,0,0,,,126,,,,,,,,,,,,,,
281,Публічне управління та адміністрування,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або історія України,"0,4","0,25","0,25","182,274","1,00",127,,,,,,,,,,,,,,
,,,2. Математика ,0,0,0,0,0,,,128,,,,,,,,,,,,,,
,,,3. Іноземна мова або історія України,0,0,0,0,0,,,129,,,,,,,,,,,,,,
292,Міжнародні економічні відносини ,(Міжнародний бізнес),1. Українська мова та література ,2. Іноземна мова ,3. Географія або математика,"0,35","0,3","0,25","186,711","1,00",130,,,,,,,,,,,,,,
,(Міжнародний бізнес),,2. Іноземна мова ,0,#VALUE!,0,0,0,,,131,,,,,,,,,,,,,,
,,,3. Географія або математика,#VALUE!,#VALUE!,0,0,0,,,132,,,,,,,,,,,,,,
